Time	Roll
0:01:55.465	0.585
0:01:55.496	0.435
0:01:55.496	0.4275
0:01:55.526	-0.345
0:01:55.556	-1.9575
0:01:55.556	-3.06
0:01:55.585	-4.5975
0:01:55.600	-6.33
0:01:55.629	-8.94
0:01:55.660	-11.67
0:01:55.660	-14.655
0:01:55.675	-17.2725
0:01:55.705	-19.335
0:01:55.720	-21.495
0:01:55.749	-22.89
0:01:55.749	-24.48
0:01:55.778	-25.485
0:01:55.811	-19.1625
0:01:55.811	-21.675
0:01:55.827	-18.87
0:01:55.857	-18.3975
0:01:55.857	-20.9175
0:01:55.887	-13.1025
0:01:55.887	-15.3075
0:01:55.902	-12.135
0:01:55.917	-14.7825
0:01:55.933	-12.24
0:01:55.933	-13.95
0:01:55.963	-12.5475
0:01:55.963	-13.26
0:01:55.993	-12.3375
0:01:56.023	-2.7075
0:01:56.023	-6.705
0:01:56.023	-10.44
0:01:56.037	-0.8325
0:01:56.068	-1.005
0:01:56.068	-5.7225
0:01:56.102	-1.0725
0:01:56.102	-1.725
0:01:56.102	-3.24
0:01:56.132	-2.775
0:01:56.132	-3.1425
0:01:56.147	-4.185
0:01:56.163	-2.9025
0:01:56.192	-1.8225
0:01:56.192	-2.13
0:01:56.221	-3.2325
0:01:56.253	-2.28
0:01:56.253	-3.69
0:01:56.284	3.0225
0:01:56.284	-0.2025
0:01:56.315	5.1
0:01:56.315	4.5075
0:01:56.315	2.64
0:01:56.346	3.9375
0:01:56.346	3.5775
0:01:56.376	6.27
0:01:56.405	9.765
0:01:56.405	8.415
0:01:56.436	11.4
0:01:56.482	14.8275
0:01:56.513	16.1025
0:01:56.530	17.3625
0:01:56.545	18.06
0:01:56.560	18.7425
0:01:56.591	19.4325
0:01:56.621	22.5525
0:01:56.621	20.9925
0:01:56.652	23.6625
0:01:56.684	22.4175
0:01:56.684	16.815
0:01:56.715	15.315
0:01:56.715	14.9625
0:01:56.730	14.3175
0:01:56.763	15.5925
0:01:56.779	14.73
0:01:56.812	13.515
0:01:56.812	12.945
0:01:56.846	11.595
0:01:56.846	7.935
0:01:56.846	7.3425
0:01:56.880	11.2425
0:01:56.880	6.855
0:01:56.895	5.61
0:01:56.910	6.8025
0:01:56.910	5.3775
0:01:56.939	5.58
